wahoo:~$ vmstat 1
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  3 6588704 157072   7900 173544 16504    0 17608     0 1890 1874  0  1 86 13  0
 0  5 6578208 167612   6776 162484 7696    0 13420   460 1901 1740  0  1 85 14  0
 0  3 6572320 157144   6792 163364 9340    0 10260    64 1464 1263  0  0 86 13  0
 1  5 6575904 170964   7516 166056 5148 8192  8680  8192 1777 1435  0  1 79 21  0
 0  3 6571296 156456   7812 171444 4952    0 10540     0 2700 1968  1  1 78 20  0
 0  3 6581536 166416   7824 176356 6824 16388 11848 16388 1926 1417  0  1 85 14  0
 0  3 6573088 161284   7824 177824 8744    0  9740     0 2291 1479  0  1 85 14  0
 1  0 6551328 154980   7824 176664 34640 12288 35208 12288 2713 3154  1  1 92  7  0
 0  1 6503456 179440   7780 174152 59256 12304 59256 12304 3284 4531  1  2 94  3  0
 0  1 6449184 177724   7520 172500 63336 8232 63336  8316 3246 4678  1  1 94  3  0
 0  1 6414480 171724   7372 170616 72308 36880 72308 36880 3931 5369  1  2 93  4  0
 2  2 6420216 169960   6924 168804 45320 52628 45320 52996 2867 3593  1  2 93  4  0
 1  0 6410784 161392   6640 168224 50488 39540 50760 39540 2993 3906  1  2 94  4  0
 0  2 6431008 174528   5452 166936 49220 68896 49220 68896 2840 3670  1  2 94  4  0
 0  1 6428336 172008   5388 164976 45656 43752 45656 43752 2445 3369  1  2 95  3  0
 0  3 6453280 190608   5136 162248 46796 70936 46796 70936 2821 3593  1  2 93  4  0
 0  1 6410528 168748   4860 160776 51604 15092 51604 15092 3048 3920  1  1 92  5  0
 0  3 6455508 205288   4364 159112 8424 53252  8508 53276 1007  831  0  1 81 17  0
 0  2 6434080 175804   4008 157528 62876 42356 63144 42356 3594 4789  1  2 92  5  0
 0  1 6427900 186704   3712 156256 52656 45708 52656 45708 2997 3989  1  2 94  4  0
 0  2 6408060 163772   3684 155532 41304 20480 41400 20480 2525 3220  1  1 95  4  0
 1  2 6418668 165520   3600 152832 53400 63504 53400 63504 3088 4064  1  2 94  4  0
 1  0 6418976 167852   3540 152720 43760 45060 43760 45060 2527 3359  1  2 94  4  0
 0  1 6446112 177176   3504 152932 29100 55320 29752 55320 2378 2474  1  2 93  5  0
 1  0 6404896 154780   3456 152544 63412 24584 63412 24584 3305 4583  1  1 94  3  0
 0  1 6418208 169680   3404 152180 44500 57352 44500 57352 2804 3424  1  2 93  5  0
 0  2 6427168 169900   3380 152228 33680 45060 33912 45060 2262 2692  1  1 93  5  0
 0  1 6422764 184856   3268 151344 56004 51244 56004 51244 3018 4171  1  2 94  4  0
 0  1 6404640 158932   3248 151004 59704 40980 59704 40980 3350 4386  1  2 94  4  0
 0  2 6416416 162208   3156 150664 53292 64924 53292 64924 3057 4034  1  2 94  3  0
 0  2 6437664 170336   3104 150380 40980 61248 40980 61248 2593 3202  1  2 93  4  0
 1  1 6416416 159500   3028 150024 55544 33620 55544 33620 3057 4201  1  2 94  3  0
 0  1 6442784 179628   2928 149996 31244 57364 31672 57364 2126 2521  1  2 92  6  0
 1  0 6451744 171376   2904 149736 51852 61452 52172 61452 3321 4000  1  2 93  5  0
 1  0 6439248 161272   2812 148860 51816 40972 51816 40972 2866 3888  1  2 94  4  0
 0  1 6453280 198128   2704 146780 47248 63500 47248 63500 2836 3616  0  2 91  6  0
