wahoo:~$ vmstat 1
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  6 6513812 206644   3836 152908 4956    0  8700     0 1221 1346  0  0 80 20  0
 0  2 6507412 196020   3844 156328 6980    0 10380     0 1335 1400  0  0 87 12  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  2 6497428 182656   4144 162544 10852    0 13076    48 1659 1471  0  1 89 10  0
 0  3 6481044 162716   4144 167544 19928    0 20204     0 2203 2035  0  1 90  9  0
 0  5 6484636 160952   3264 160472 13028 10388 14196 10564 1813 1652  0  1 88 11  0
 0  6 6482332 165716   3272 162724 2884  340  4980  1224 1092 1121  0  0 70 30  0
 0  7 6477212 157148   3828 165664 5636    0  9108     0 1415 1303  0  0 79 20  0
 0  5 6499476 168772   4224 169080 4848 26520  9412 26520 1461 1158  0  1 83 16  0
 0  5 6494612 160944   4232 170616 5328    0  7204    76 1330 1086  0  0 78 21  0
 0  3 6491796 165236   4500 172552 12976 9808 14984  9808 2222 1767  0  1 88 11  0
 0  2 6517652 188884   4500 171360 12760 37852 13524 37852 2209 1716  1  1 91  8  0
 0  3 6487700 166080   4500 171596 49760 19944 50548 19944 3286 4114  0  1 92  6  0
 0  1 6475156 162876   4500 171632 38340 25848 39064 25848 2820 3233  1  1 92  7  0
 1  0 6485652 177712   4364 169836 49624 60280 49644 60280 3148 3776  0  2 93  5  0
 0  2 6467332 167940   4320 169504 30464 11936 30484 12860 1970 2432  0  1 92  7  0
 0  1 6473952 178264   4016 167520 56712 63640 56792 63716 3674 4285  0  2 94  4  0
 0  1 6452364 165232   3504 166384 54544 32620 54620 32620 3498 4226  1  2 93  5  0
 0  1 6447060 172768   3344 165372 49060 43764 49060 43764 2995 3855  0  2 92  6  0
 0  1 6467732 190928   2684 163732 32012 52508 32164 52508 2772 2945  0  1 92  7  0
 0  3 6436500 170084   2684 162484 52800 21496 52800 21572 3325 4934  1  1 90  8  0
 1  0 6442388 176636   2652 160800 29248 35084 29276 35084 2249 2487  0  1 90  9  0
 0  2 6419860 166580   2648 159204 60296 37532 60328 37532 3322 4322  0  2 95  3  0
 0  1 6430612 182424   2488 156272 38156 49056 38156 49056 2681 2980  0  1 93  5  0
 1  0 6407060 165792   2236 155904 59004 35072 59260 35140 3760 4562  1  2 94  4  0
 0  1 6391700 157484   2168 154960 46028 30668 46028 30668 2775 3708  0  2 95  3  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1 6409956 181172   1840 152336 46616 65316 46712 65316 3026 3611  0  2 91  7  0
 0  1 6391956 166548   1788 151520 49360 31096 49360 31096 3056 3774  0  1 94  4  0
 0  2 6391632 166044   2512 153200 15684 15372 18500 15372 1598 1646  0  1 91  8  0
 0  1 6380112 150104   2592 159096 11712    0 17504     0 2026 1684  0  1 90  9  0
 0  2 6394260 151348   2412 159304 26156 40200 27460 40200 2414 2543  0  1 93  6  0
 0  2 6405780 172768   2168 153792 27188 38584 28476 38584 2747 2537  0  1 91  8  0
 0  1 6466964 241596   2508 154224 10976 71892 11692 71892 1717 1596  0  1 89  9  0
 1  0 6399380 174888   2508 155084 67680    0 68576     0 3834 5160  1  1 94  5  0
 0  1 6382740 166960   2508 155220 31080 14612 31420 14612 2862 2926  0  1 93  6  0
 0  1 6387116 166400   2512 154536 45968 50412 45968 50468 2871 3688  0  2 92  6  0
 0  1 6379672 164628   2512 154184 47760 39948 47760 39948 3254 3892  0  2 94  4  0
 0  2 6385044 178228   2500 152092 45624 51132 45692 51132 2647 3605  0  1 94  5  0
 0  1 6359956 164880   2480 152204 37064 11700 37168 12424 2495 3137  0  1 94  5  0
 0  2 6377876 179236   2348 151932 19572 37320 19820 37320 2040 1843  0  1 93  5  0
 0  1 6352276 156028   1768 151072 61000 35340 61184 35340 3750 4540  1  2 94  4  0
 0  2 6358164 163312   2940 151460 24280 30204 26528 30204 2040 2147  0  1 94  5  0
 0  1 6352788 153160   3080 154860 5532    0  8724     0 1708 1678  0  0 91  8  0
 0  1 6368660 178108   3016 153408 34144 49932 34144 49932 2896 3510  0  2 92  6  0
 0  2 6367636 168508   3016 153224 42036 41048 42128 41112 3054 3794  0  1 91  7  0
 0  1 6358420 162184   3004 152624 43896 34548 43924 34548 2855 3625  0  1 96  3  0
 0  1 6384532 182556   3004 152292 40164 66272 40204 66272 3287 3625  0  2 93  5  0
 0  2 6361236 170964   3012 152676 35892 12412 36748 12412 2503 3190  0  1 93  5  0
 0  1 6350484 157680   3028 154612 28568 18044 30224 18044 2410 2763  0  1 93  6  0
