wahoo:~$ vmstat 1
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1 13 5847444 144828   2568 124804  172 128004  1060 128004 14051 5403  0  3 50 47  0
 0 11 5918316 134508   2836 126084  212 70932  1348 70932 7639 4235  1  3 58 38  0
 0 11 5991596 135108   2644 125748  100 73380   900 73380 8354 4922  1  3 57 40  0
 2  6 6091436 135644   2440 125820   76 99848   304 99848 11050 5069  1  4 54 42  0
 0  8 6182236 135176   2712 125368  132 91196   780 91196 8271 5375  0  4 67 29  0
 0  8 6290604 137188   2824 125396  100 108104   744 108104 9655 2622  1  4 65 31  0
 0  8 6378380 135544   2956 125328  116 87812   332 87812 12839 6482  0  4 61 35  0
 1 10 6463116 195412   3088 125832   88 84792  1372 84792 4581 1886  0  2 56 42  0
 0 10 6475404 205596   3204 129216 3516 15416  7120 15416 2582 1900  0  1 63 36  0
 0  5 6469772 197140   3368 133764 5868    0 10276     0 1827 1653  0  1 75 24  0
 0  5 6464652 185808   3368 139516 5912    0 11568     0 1256 1312  0  0 80 20  0
 0  5 6459788 175224   3368 144408 5744    0 10784     0 1424 1479  0  0 80 19  0
 0  3 6454668 166656   3636 147432 5736    0  8944     0 1497 1716  0  0 82 18  0
 1  2 6446732 156836   3640 151096 8596    0 10332     0 1584 1588  0  0 86 14  0
 0  3 6470796 179760   3624 146964 10556 33712 10680 33712 2256 1791  0  1 86 13  0
 0  4 6463372 167852   3628 152448 9100    0 10636     0 1995 1716  0  1 80 19  0
 0  5 6461324 163724   4040 153384 4076    0  5376   676 1407 1690  0  0 79 20  0
 0  4 6456716 153472   4484 154624 8268    0 10072    32 1459 1717  0  1 91  9  0
 0  3 6470540 161740   4480 155332 10876 21252 12196 21252 1670 1456  0  1 91  9  0
 0  2 6465420 152692   4620 159288 5180    0  9184     0  982  938  0  0 92  7  0
 0  2 6465164 162804   4612 158920 12808 12464 13684 12464 1925 1608  0  1 91  8  0
 1  1 6473356 185380   4532 156984 21056 28380 21664 28380 2678 2503  0  1 89  9  0
 0  2 6475404 195988   4592 155184 39952 42664 40652 42664 3810 3232  1  1 92  6  0
 0  4 6471308 189908   4600 157824 3740    0  6436    24 1018  823  0  0 90  9  0
 0  3 6437004 151808   4900 161500 33956    0 37920     0 2526 3066  1  1 91  7  0
 0  5 6443404 162896   5036 162452 8072 13624  9660 13624 1496 1319  0  1 90  9  0
 0  4 6439308 155296   5188 164704 4280    0  6924     0 1325 1298  0  0 81 18  0
 1  2 6487692 198388   4592 161232 10272 57952 11712 57952 1721 1409  0  1 88 11  0
 0  1 6482636 209264   4484 160932 28064 22916 28072 22916 1890 2586  0  1 90  8  0
 0  1 6432716 158612   4492 160844 50724    0 50740    52 2728 3968  1  1 96  3  0
 0  1 6427820 162392   4144 159244 50376 44736 50376 44736 3189 4148  1  2 94  3  0
 1  1 6418828 161044   3984 159364 33912 26056 34500 26056 2716 3225  1  1 93  4  0
 1  1 6446220 189152   3604 156452 42812 70132 42812 70132 2897 3349  1  2 94  4  0
 0  3 6420248 176600   3600 158664 25588  616 27756   616 1765 2242  0  1 90  9  0
 1  0 6418388 174276   3536 158716 33740 33076 35200 33128 2675 2960  1  1 93  6  0
 0  3 6403028 156700   4312 160224 15960    0 18140     0 1703 1804  0  1 90  9  0
 1  1 6418884 175748   5644 161348 4952 20196  8624 20196 1997 1454  0  1 90  9  0
 0  4 6412452 169204   5644 161332 7284    0  7616     0 1483 1466  0  0 87 12  0
 0  2 6406308 162400   5644 162152 6764    0  7328     0 1119 1181  0  0 88 11  0
 0  6 6402724 156596   6084 163100 4564    0  6072     0 1377 1454  0  0 73 26  0
 0  3 6398884 149540   6484 165748 3864    0  6644   728 1160 1059  0  0 87 12  0
 0  2 6429364 173768   6392 167440 1600 32348  4684 32680  955  594  0  1 89 11  0
 0  6 6423732 167316   6396 169104 6292    0  7868     0 1462 1612  0  0 80 19  0
 0  3 6419124 156896   6632 170740 5568    0  7512     0 1935 1519  0  1 86 13  0
 0  4 6419084 165580   7480 170028 2116 1920  6044  2648 1361 1137  0  0 86 13  0
 0  3 6415756 160792   7968 172076 3356    0  5896    64  892  833  0  0 88 12  0
 0  2 6412940 153316   8128 174740 2860    0  5540    80  853  753  0  0 89 10  0
 0  2 6435844 171892   8400 180184 4396 26832 11960 27164 1293  923  0  1 92  7  0
 1  3 6430212 161552   9104 183968 5908    0 10320     0 1805 1614  1  0 89 10  0
 1  2 6433420 154612   9244 187148 5036 7728  8160  7728 1695 1282  0  1 85 14  0
 0  2 6438676 162336   9456 188652 2808 7996  4244  8972 1634  946  0  1 85 14  0
 0  2 6440844 168256   9780 190468 12748 14476 17904 14552 2703 2502  0  1 90  9  0
 1  1 6424204 169712   7908 175072 21576 4812 21632  4808 1469 2022  0  1 88 11  0
 0  1 6492300 258136   7828 164524 23956 90868 23956 90872 1984 1956  0  2 89  9  0
 0  1 6437516 203956   7828 164752 54212    0 54212     0 3148 4514  1  1 94  4  0
 0  1 6396012 172424   6952 159868 69192 26964 69192 26964 3835 5132  1  2 94  3  0
 0  1 6393228 184552   6092 155696 47856 44860 47964 44860 7773 4012  1  2 93  4  0
 1  0 6375564 165296   7036 156836 17960    0 19956    44 1786 1958  0  0 91  8  0
 0  2 6395788 181676   6308 154012 49332 68864 49332 68864 3935 4954  1  2 92  5  0
 1  0 6348684 154964   6000 153828 53264 5428 53264  5428 2830 4067  1  1 96  2  0
 2  1 6378380 189804   4856 148872 33040 62188 33040 62188 2428 2609  1  2 91  7  0
 0  5 6350732 156508   5268 149108 39992 12112 42256 12112 2692 3612  1  1 93  5  0
