bonito:~/git/frozemm/expms-disk/simple$ vmstat 1
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  2 5770596 166552   3780  85928 78756 101692 78756 101692 3803 5448  0  2 92  6  0
 0  2 5781604 173608   3780  85780 65208 76464 65208 76464 3418 4465  4  2 93  2  0
 1  1 5796452 175032   3780  86184 65272 79768 66028 79768 3575 4760  0  2 91  7  0
 0  1 5794148 169236   3544  86332 74376 71948 74376 71948 3555 5115  0  2 92  6  0
 0  1 5803364 168700   3540  86064 74452 84048 74452 84048 3910 5186  2  2 93  4  0
 0  1 5794660 166000   3540  86216 69272 67656 69520 67656 3591 4921  0  2 94  4  0
 1  0 5789028 169208   3540  85912 74512 77880 74512 77880 3777 5255  1  2 93  4  0
 0  2 5806436 185076   3644  85892 57588 79912 58212 79912 3265 4332  0  2 92  6  0
 0  1 5788944 167184   3460  86788 55844 41008 56264 41008 3235 4067  2  1 92  4  0
 0  2 5808996 169232   3408  86132 83616 103600 83616 103600 4075 5784  1  2 91  6  0
 0  1 5817440 187816   3400  85688 74488 82936 74488 82936 3672 5217  0  2 93  5  0
 1  0 5791588 156348   3400  85468 95860 69716 95860 69716 4378 6526  1  2 93  5  0
 0  1 5825636 172256   3340  85340 68284 102564 68284 102564 3432 4745  0  2 92  5  0
 1  1 5807204 155112   3456  86504 69860 51252 70920 51252 3966 5159  1  2 91  6  0
 1  1 5764452 161664   3272  85900 109300 66564 109300 66564 5055 7503  1  3 93  4  0
 0  1 5774436 169916   3272  86064 56816 66744 56816 66744 3087 3984  3  2 93  3  0
 0  2 5770852 174480   3272  85808 71848 68376 71848 68376 3661 5109  1  2 93  5  0
 0  2 5754280 164400   3272  85456 81384 64196 81384 64204 3962 5666  1  2 95  3  0
 0  2 5764964 165196   3272  85532 50232 60760 50828 60760 3126 3822  0  2 92  6  0
 0  1 5768804 171244   3272  84440 81604 85308 81604 85308 3978 5650  1  2 93  4  0
 1  1 5755236 152076   3272  83704 82220 68468 82220 68468 3760 5633  1  2 94  4  0
 1  0 5775716 170472   3272  82628 76824 97404 76824 97404 3832 5347  0  2 91  6  0
 0  1 5737060 160928   3268  81508 93140 54592 93140 54592 4314 6382  1  2 94  3  0
 0  1 5740136 158376   3260  81392 71548 74356 72216 74356 3812 5185  0  2 92  6  0
 1  1 5740644 161952   3256  80380 82004 82632 82004 82632 3921 5664  1  2 92  5  0
 1  2 5764708 169984   3256  79708 79128 102880 79128 102880 4199 5497  2  2 91  4  0
 0  2 5765476 168752   3256  81680 20864 21000 23008 21000 1727 1916  0  1 92  7  0
 0  4 5758820 156860   3644  86252 7312    0 12300     0 1536 1169  0  0 88 11  0
 1  7 5780324 169380   5080  89884 3312 24640 12512 24640 1424 1236  0  1 77 22  0
 0  3 5776740 157140   6060  97724 3932    0 12600     0 1407 1199  0  0 80 19  0
 0  3 5787748 171992   6980 100296 5440 16404  9320 16404 1339 1184  0  0 84 15  0
 0  4 5783140 163416   6980 103764 5424    0  8848     0 1379 1169  0  0 83 16  0
 0  3 5775972 156108   7004 104916 8044    0  8608     0 1536 1446  0  0 85 15  0
 0  3 5800036 169220   7184 105200 9556 32792 10012 32792 1630 1301  0  1 87 12  0
 0  6 5794148 161920   7192 107324 7144    0  7640    60 1570 1519  0  1 77 22  0
 0  3 5808228 172940   7560 110816 11220 24584 13520 24584 1964 1692  0  1 81 18  0
 0  3 5800804 157812   7832 112008 13844    0 15300     0 1463 1508  0  0 90  9  0
 0  3 5803204 163596   7348 108532 7812 8204 11632  8208 1333 1210  0  1 85 14  0
 0 12 5808228 162380   7620 113512 5468 10228 11312 10228 1209 1216  0  1 82 18  0
 0  8 5816676 164836   7728 115760 6136 14364  8416 14364 1822 1547  0  1 74 25  0
 0  5 5812836 154076   8252 121076 4392    0  9908    28 1565 1492  0  0 74 25  0
 0  4 5824868 164048   9060 123596 4680 16388  9744 16388 1847 1359  0  1 83 16  0
 0  4 5820516 153312  10372 127144 4816    0  9020     0 1578 1449  0  0 82 17  0
 0  4 5843044 167660  10340 128068 4624 26640  6816 27512 1353 1134  0  1 82 17  0
 0  3 5836388 158808  10748 130108 6720    0  9056     0 1272 1132  0  0 85 14  0
 0  4 5849188 171864  10816 130076 6580 18444  8356 18552 1479 1227  0  1 85 14  0
